date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:07	1010/1010	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221c68230-608-5690903631300%22	https://www.constantcontact.com/site/common/_script/modules/cc-formloader.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-formloader55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:08	9606/9606	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-2586%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctct-ajax-filters.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctct-ajax-filters55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Apr%202018%2014:31:07%20GMT	http://www.constantcontact.com/site/common/_script/modules/cc-analytics.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-analytics55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:08	4048/4048	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-fd0%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctct-single-post.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctct-single-post55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:08	197/197	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22720202-176-5690903631300%22	https://www.constantcontact.com/site/common/_script/modules/cc-analytics.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-analytics55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Apr%202018%2014:31:07%20GMT	http://www.constantcontact.com/site/common/_script/modules/cc-cookies.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-cookies55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:09	1615/1615	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221d5824c-c30-5690903631300%22	https://www.constantcontact.com/site/common/_script/modules/cc-cookies.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-cookies55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:10	2792/2792	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-ae8%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/header/navigation.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/header/navigation55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:10	5816/5816	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-16b8%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery.tools-1.2.5.tooltip.min.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery.tools-1.2.5.tooltip.min55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:10	21601/21601	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-5461%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery.validate-1.9.0.min.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/vendor/jquery.validate-1.9.0.min55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Apr%202018%2014:31:09%20GMT	http://www.constantcontact.com/site/common/_script/modules/cc-optimizely.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-optimizely.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:11	11104/11104	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2258754f1b-2b60%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/header/two-step-logic.js?ver=4.9.5	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/header/two-step-logic55fe.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:11	2995/2995	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%221d58251-117b-5690903631300%22	https://www.constantcontact.com/site/common/_script/modules/cc-optimizely.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/www.constantcontact.com/site/common/_script/modules/cc-optimizely.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:12	793/793	---M--	200	added ('OK')	application/x-javascript	etag:%2259123c75-319%22	https://blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctctblog-optimizely.min.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/themes/roots/assets/js/ctctblog-optimizely.min.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:12	455799/455799	---M-Z	200	added ('OK')	text/javascript	etag:%22a8c0d4995197840849eba5c9c8e33ee7%22	https://cdn.optimizely.com/js/2125675982.js	D:/DESKTOP/XOA%20SACH/article-copy/content1/cdn.optimizely.com/js/2125675982.js	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:12	26645/26645	---M--	200	added ('OK')	image/png	etag:%2258bdcee8-6815%22	https://blogs.constantcontact.com/wp-content/uploads/2013/08/25-Things-That-Make-You-Look-Dumb-on-Pinterest-790x310.png	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/uploads/2013/08/25-Things-That-Make-You-Look-Dumb-on-Pinterest-790x310.png	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:13	7690/7690	---M--	200	added ('OK')	image/png	etag:%2258bdcee8-1e0a%22	https://blogs.constantcontact.com/wp-content/uploads/2013/08/25-Things-That-Make-You-Look-Dumb-on-Pinterest-712x370.png	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/wp-content/uploads/2013/08/25-Things-That-Make-You-Look-Dumb-on-Pinterest-712x370.png	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:16	140493/140493	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202015%2014:16:24%20GMT	http://static.ctctcdn.com/lp/fonts/whitney/whitney-current.css	D:/DESKTOP/XOA%20SACH/article-copy/content1/static.ctctcdn.com/lp/fonts/whitney/whitney-current.css	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:22	27978/27978	---M--	200	added ('OK')	image/png	etag:%22539b550a-6d4a%22	http://ctctukblog.wpengine.com/wp-content/uploads/2014/06/Danielle-Cormier_avatar_1402688777-96x96.png	D:/DESKTOP/XOA%20SACH/article-copy/content1/ctctukblog.wpengine.com/wp-content/uploads/2014/06/Danielle-Cormier_avatar_1402688777-96x96.png	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:22	98117/98117	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:15%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=58900	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/indexad35.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
21:31:22	98121/98121	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Apr%202018%2014:31:16%20GMT	https://blogs.constantcontact.com/pinterest-for-business/?replytocom=59535	D:/DESKTOP/XOA%20SACH/article-copy/content1/blogs.constantcontact.com/pinterest-for-business/index3e13.html	(from https://blogs.constantcontact.com/pinterest-for-business/)
